From,Status,Price,Date Created
+61879478573,Failed,0.0,2026-04-17T06:01:25.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:20.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:17.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:16.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:10.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:08.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:04.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:03.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:01.000Z
+61879478573,Failed,0.0,2026-04-17T06:01:00.000Z
+61879478573,Completed,-0.0405,2026-04-17T05:59:24.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:31.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:26.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:21.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:18.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:17.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:16.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:15.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:14.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:13.000Z
+61879478573,Failed,0.0,2026-04-17T05:59:09.000Z
+61879478573,Failed,0.0,2026-04-17T05:58:15.000Z
+61879478573,Failed,0.0,2026-04-17T05:58:14.000Z
+61879478573,Failed,0.0,2026-04-17T05:58:10.000Z
+61879478573,Failed,0.0,2026-04-17T05:58:08.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:34.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:33.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:29.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:28.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:27.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:25.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:24.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:22.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:19.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:16.000Z
+61879478573,Failed,0.0,2026-04-17T05:57:11.000Z
+61879478573,Failed,0.0,2026-04-17T05:56:06.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:14.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:14.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:13.000Z
+61879478573,No Answer,,2026-04-17T05:55:13.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:13.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:13.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:13.000Z
+61879478573,Failed,0.0,2026-04-17T05:55:12.000Z
